,index_character,name,poster,hero,url,group
49,50,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Cyborg Spider-Woman,https://static.wikia.nocookie.net/intothespiderverse/images/0/0d/Unnamed_Cyborg_Spider-Woman.webp/revision/latest/scale-to-width-down/350?cb=20230607145501,Мультфильмы
50,51,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Daisy Johnson,https://static.wikia.nocookie.net/intothespiderverse/images/8/82/Daisy_Johnson_%28Earth-1610%29.png/revision/latest?cb=20230728195904,Мультфильмы
51,52,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Daniel Brito (Earth-Unknown),https://static.wikia.nocookie.net/intothespiderverse/images/d/db/Daniel_Brito_%28Earth-Unknown%29.webp/revision/latest?cb=20230906041132,Мультфильмы
52,53,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Category:Deceased characters,,Мультфильмы
53,54,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Delilah (Earth-1610),https://static.wikia.nocookie.net/intothespiderverse/images/5/5d/Delilah_%28Earth-1610%29_from_Marvel%27s_Spider-Man_2.png/revision/latest/scale-to-width-down/350?cb=20231020051135,Мультфильмы
54,55,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Dmitri Smerdyakov (Earth-1610),https://static.wikia.nocookie.net/intothespiderverse/images/b/b5/Chameleon_%28Earth-1610%29.png/revision/latest/scale-to-width-down/350?cb=20230808143808,Мультфильмы
55,56,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Doppelganger,https://static.wikia.nocookie.net/intothespiderverse/images/b/ba/Doppelganger.jpg/revision/latest?cb=20230714015704,Мультфильмы
56,57,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Dr. Crawdaddy,https://static.wikia.nocookie.net/intothespiderverse/images/a/a7/Dr_Crawdaddy_%28E-8311%29_001.png/revision/latest/scale-to-width-down/350?cb=20210714162609,Мультфильмы
57,58,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Jessica Drew (Earth-332),https://static.wikia.nocookie.net/intothespiderverse/images/5/57/Jessica_Drew_%28Earth-404%29_from_Spider-Man_Across_the_Spider-Verse_003.png/revision/latest/scale-to-width-down/350?cb=20230620005847,Мультфильмы
58,59,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Eddie Brock (Earth-1610),,Мультфильмы
59,60,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Edward Brock (Earth-616),https://static.wikia.nocookie.net/intothespiderverse/images/4/4c/Earth-616B_Storyboard.png/revision/latest/scale-to-width-down/350?cb=20230918115742,Мультфильмы
60,61,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Eugene Patilio (Earth-1610),https://static.wikia.nocookie.net/intothespiderverse/images/c/ca/Frog-Man_%28Earth-1610%29.png/revision/latest/scale-to-width-down/350?cb=20230808144252,Мультфильмы
61,62,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Eugene Patilio (Earth-Unknown),https://static.wikia.nocookie.net/intothespiderverse/images/e/e8/Frog-Man_ATSV.png/revision/latest?cb=20230815170115,Мультфильмы
62,63,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Ezekiel Sims (Earth-Unknown),https://static.wikia.nocookie.net/intothespiderverse/images/7/7b/Ezekiel_Sims_Spider-Therapist.webp/revision/latest/scale-to-width-down/350?cb=20230603190630,Мультфильмы
63,64,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Flash Thompson (Earth-616),,Мультфильмы
64,65,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Flash Thompson (Earth-78127),https://static.wikia.nocookie.net/intothespiderverse/images/7/76/CaptainSpider.jpg/revision/latest?cb=20230714022322,Мультфильмы
65,66,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Flint Marko (Earth-42),,Мультфильмы
66,67,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Francis Byte,https://static.wikia.nocookie.net/intothespiderverse/images/9/99/Videoman_ATSV.png/revision/latest?cb=20230627125735,Мультфильмы
67,68,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Frankfurter Porker,,Мультфильмы
68,69,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Fredrick Foswell,https://static.wikia.nocookie.net/intothespiderverse/images/c/c3/Frederick_Foswell_%28Earth-Unknown%29.webp/revision/latest/scale-to-width-down/350?cb=20230826213031,Мультфильмы
69,70,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Future Foundation Spider-Woman,https://static.wikia.nocookie.net/intothespiderverse/images/9/91/FF_Spider-Woman_%28Earth-Unknown%29.webp/revision/latest/scale-to-width-down/276?cb=20230816004349,Мультфильмы
70,71,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Gabriella O'Hara,,Мультфильмы
71,72,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Ganke Lee,https://static.wikia.nocookie.net/intothespiderverse/images/2/2c/Ganke_Lee_%28E-1610%29_001.png/revision/latest/scale-to-width-down/350?cb=20210624162153,Мультфильмы
72,73,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Gayatri Singh,https://static.wikia.nocookie.net/intothespiderverse/images/6/6d/Gayatri_Singh_%28Earth-50101%29_from_Spider-Man_Across_the_Spider-Verse_002.png/revision/latest/scale-to-width-down/350?cb=20230818213507,Мультфильмы
73,74,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,George Stacy (Earth-26496),https://static.wikia.nocookie.net/intothespiderverse/images/b/b2/2000s_Earth-26496_from_Across_Spider-Verse_001.png/revision/latest/scale-to-width-down/349?cb=20230808141932,Мультфильмы
74,75,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,George Stacy (Earth-616),https://static.wikia.nocookie.net/intothespiderverse/images/9/9b/George_Stacy_%28Earth-616%29_from_Spider-Man_Across_the_Spider-Verse_001.png/revision/latest/scale-to-width-down/350?cb=20230608014018,Мультфильмы
75,76,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,George Stacy (Earth-616A),https://static.wikia.nocookie.net/intothespiderverse/images/e/e7/616AStacy.png/revision/latest/scale-to-width-down/350?cb=20230717174349,Мультфильмы
76,77,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,George Stacy (Earth-65),https://static.wikia.nocookie.net/intothespiderverse/images/3/3b/George_Stacy_Earth-65B.jpg/revision/latest/scale-to-width-down/350?cb=20230825034818,Мультфильмы
77,78,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Gloria Morales,https://static.wikia.nocookie.net/intothespiderverse/images/3/3e/Jeff%27s_contacts_list_%28E-1610%29_001.png/revision/latest/scale-to-width-down/350?cb=20210809042509,Мультфильмы
78,79,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Glory Grant,https://static.wikia.nocookie.net/intothespiderverse/images/9/90/Glory_Grant_%28Earth-65%29.png/revision/latest/scale-to-width-down/350?cb=20230807200010,Мультфильмы
79,80,Человек-паук: Через вселенные,https://static.wikia.nocookie.net/intothespiderverse/images/2/22/Gwen-universe-with-talent_ver_1.png/revision/latest/scale-to-width-down/500?cb=20230527223604,Gog (Earth-42),https://static.wikia.nocookie.net/intothespiderverse/images/0/09/Gog_%28Earth-42%29.png/revision/latest?cb=20230816191955,Мультфильмы
